Id,category,crawl_date,description,dislike_count,id,like_count,name,step,title,upload_date,video_id,view_count
UC_1N_NAJv18XOndxdixfW6g,PUA,20190417,"Guys are always asking how to meet new people when going out alone. At rsd going out solo is in many ways a rite of passage, and not ""lame"" at all. In fact it's one of the most alpha male things you can do. Here's why.

Subscribe for more! ► https://www.youtube.com/user/RSDJeffy?sub_confirmation=1

Website:

http://executetheprogram.com

http://www.RSDResonator.com

http://www.jeffyhotseat.com

—————

I have worked as an Executive Coach with Real Social Dynamics since 2003, running programs practically every weekend for the last 15 years in over 100 cities across North America, Australia, Africa and Europe. I’m extremely passionate about getting my students ACTUAL RESULTS and am continually improving my program to achieve this end.

In 2007, I released a critically acclaimed DVD program called ""The Jeffy Show.""

Simon & Schuster published my memoir ""Get Laid or Die Trying"" on March 29th, 2011.

In 2016 I released my magnum opus on text and online game, ""Execute the Program v2.0”

In 2017 I created RESONATOR, the professional guide to healthy powerful and attractive vocal projection technique.

Facebook: www.facebook.com/RSDJeffy
Instagram: RSDJeffy",20,UC_1N_NAJv18XOndxdixfW6g,1239,RSD Jeffy,3,How to Go Out Alone... and Go Home With Company,20181009,-Aiu_jxLWmk,32370
UC_1N_NAJv18XOndxdixfW6g,PUA,20190417,"Subscribe for more! ► https://www.youtube.com/user/RSDJeffy?sub_confirmation=1

Website:

http://executetheprogram.com

http://www.jeffyhotseat.com

—————

I have worked as an Executive Coach with Real Social Dynamics since 2003, running programs practically every weekend for the last 14 years in over 100 cities across North America, Australia, Africa and Europe. I’m extremely passionate about getting my students ACTUAL RESULTS and am continually improving my program to achieve this end.

In 2007, I released a critically acclaimed DVD program called ""The Jeffy Show.""

Simon & Schuster published my memoir ""Get Laid or Die Trying"" on March 29th, 2011.

In 2016 I released my magnum opus on text and online game, ""Execute the Program v2.0”

Facebook: www.facebook.com/RSDJeffy
Instagram: RSDJeffy
Snapchat: jlaix5150
Twitter/Periscope: @RSDJeffy",10,UC_1N_NAJv18XOndxdixfW6g,824,RSD Jeffy,3,Feeling TOXIC to Others - Fix This to Improve ALL Your Relationships,20170531,-Qblx90eEts,27413
UC_1N_NAJv18XOndxdixfW6g,PUA,20190417,"Download a free implementable summary of this video. It has all essential ideas and techniques, plus further resources to go deeper. Click here to get it: http://www.rsdvault.com/horrible-advice

Subscribe for more! ► http://www.youtube.com/subscription_c...

Website: http://executetheprogram.com

—————
Jeffy tells you to ""think before you speak"" and ""just be yourself, bro"" in Austin, TX. Also pays a visit to the Salt Lick BBQ and consumes Tequila con Queso, the official drink of Texas.

—————
I have worked as an Executive Coach with Real Social Dynamics since 2003, running programs practically every weekend for the last 12 years in over 100 cities across North America, Australia, Africa and Europe. I am extremely passionate about getting my students ACTUAL RESULTS and am continually improving my program to achieve this end.

In 2007, I released a critically acclaimed DVD program called ""The Jeffy Show.""

Simon & Schuster published my memoir ""Get Laid or Die Trying"" on March 29th, 2011.

In 2014 I released my magnum opus on text and online game, ""Execute the Program.""

Facebook: www.facebook.com/RSDJeffy

Instagram: RSDJeffy",32,UC_1N_NAJv18XOndxdixfW6g,676,RSD Jeffy,3,Horrible Advice on How to Pick Up Women,20130128,-rI7n4cxHq0,67162
UC_1N_NAJv18XOndxdixfW6g,PUA,20190417,"Subscribe for more! ► http://www.youtube.com/subscription_center?add_user=rsdjeffy

Website: http://executetheprogram.com

—————
www.rsdfreetour.com

In Brighton, UK, Jeffy talks about what really matters in the game.

—————
I have worked as an Executive Coach with Real Social Dynamics since 2003, running programs practically every weekend for the last 12 years in over 100 cities across North America, Australia, Africa and Europe. I am extremely passionate about getting my students ACTUAL RESULTS and am continually improving my program to achieve this end.

In 2007, I released a critically acclaimed DVD program called ""The Jeffy Show.""

Simon & Schuster published my memoir ""Get Laid or Die Trying"" on March 29th, 2011.

In 2014 I released my magnum opus on text and online game, ""Execute the Program.""

Facebook: www.facebook.com/RSDJeffy

Instagram: RSDJeffy",0,UC_1N_NAJv18XOndxdixfW6g,177,RSD Jeffy,3,The Devil in the Details,20110921,-tWFY_md36A,21501
UC_1N_NAJv18XOndxdixfW6g,PUA,20190417,"Yes, the old-school OPINION OPENERS from the era of The Game... do they actually work or are they outdated nonsense? There are many pros and cons, however ultimately this is contingent upon getting your INNER GAME dialed. Let's explore.

Subscribe for more! ► https://www.youtube.com/user/RSDJeffy?sub_confirmation=1

Website:

http://executetheprogram.com

http://www.RSDResonator.com

http://www.jeffyhotseat.com

—————

I have worked as an Executive Coach with Real Social Dynamics since 2003, running programs practically every weekend for the last 15 years in over 100 cities across North America, Australia, Africa and Europe. I’m extremely passionate about getting my students ACTUAL RESULTS and am continually improving my program to achieve this end.

In 2007, I released a critically acclaimed DVD program called ""The Jeffy Show.""

Simon & Schuster published my memoir ""Get Laid or Die Trying"" on March 29th, 2011.

In 2016 I released my magnum opus on text and online game, ""Execute the Program v2.0”

In 2017 I created RESONATOR, the professional guide to healthy powerful and attractive vocal projection technique.

Facebook: www.facebook.com/RSDJeffy
Instagram: RSDJeffy",6,UC_1N_NAJv18XOndxdixfW6g,458,RSD Jeffy,3,Do Opinion Openers Work? (Hint: Inner Game Matters),20180911,-xINM1k80UI,12718
UC_1N_NAJv18XOndxdixfW6g,PUA,20190417,"Subscribe for more! ► http://www.youtube.com/subscription_center?add_user=rsdjeffy

Website: http://executetheprogram.com

—————

Jeff reveals his burgeoning ""man boobs"" for the world to see. SFW

—————
I have worked as an Executive Coach with Real Social Dynamics since 2003, running programs practically every weekend for the last 12 years in over 100 cities across North America, Australia, Africa and Europe. I am extremely passionate about getting my students ACTUAL RESULTS and am continually improving my program to achieve this end.

In 2007, I released a critically acclaimed DVD program called ""The Jeffy Show.""

Simon & Schuster published my memoir ""Get Laid or Die Trying"" on March 29th, 2011.

In 2014 I released my magnum opus on text and online game, ""Execute the Program.""

Facebook: www.facebook.com/RSDJeffy

Instagram: RSDJeffy

https://www.youtube.com/watch?v=54RxxeWNAyk",10,UC_1N_NAJv18XOndxdixfW6g,282,RSD Jeffy,3,LOL MOOBS,20141210,0GqusR2Vafc,21032
UC_1N_NAJv18XOndxdixfW6g,PUA,20190417,"The 13 qualities women find attractive. This is just a short list of the basic traits of men women like.

Want POWERFUL vocal tonality that attracts everyone? Check out:

http://www.rsdresonator.com",44,UC_1N_NAJv18XOndxdixfW6g,1608,RSD Jeffy,3,The 13 Qualities Women Find Attractive,20170718,0cj3_rlDRd4,69137
UC_1N_NAJv18XOndxdixfW6g,PUA,20190417,"Subscribe for more! ► http://www.youtube.com/subscription_center?add_user=rsdjeffy

Website: http://executetheprogram.com

—————
Take a tour of the infamous Consensual Sex in the Missionary Position For the Sole Purpose of Reproduction Van with Jeffy, and explore some of the deeper issues surrounding self-development and shifting identity.

—————
I have worked as an Executive Coach with Real Social Dynamics since 2003, running programs practically every weekend for the last 12 years in over 100 cities across North America, Australia, Africa and Europe. I am extremely passionate about getting my students ACTUAL RESULTS and am continually improving my program to achieve this end.

In 2007, I released a critically acclaimed DVD program called ""The Jeffy Show.""

Simon & Schuster published my memoir ""Get Laid or Die Trying"" on March 29th, 2011.

In 2014 I released my magnum opus on text and online game, ""Execute the Program.""

Facebook: www.facebook.com/RSDJeffy

Instagram: RSDJeffy",54,UC_1N_NAJv18XOndxdixfW6g,837,RSD Jeffy,3,The Consensual Sex Van Revealed,20121023,0fqKHluYLgw,67884
UC_1N_NAJv18XOndxdixfW6g,PUA,20190417,"Subscribe for more! ► https://www.youtube.com/user/RSDJeffy?sub_confirmation=1

1:03 - The Man Who Fucks Lesbians
6:20 - One Last Gay by Brian McKnight
9:14 - At What Age Are You Kicked Out of RSD?
10:12 - After Enlightenment, the Laundry
11:31 - NOTICE ME SENPAI
12:19 - Nazi or SJW?
13:22 - Should I Stop My Friend From Getting Married?
17:54 - Buttplug Birthday Party
21:57 - How Do I Improve My Sense of Humor

Website:

http://executetheprogram.com

http://www.jeffyhotseat.com

-----

I have worked as an Executive Coach with Real Social Dynamics since 2003, running programs practically every weekend for the last 14 years in over 100 cities across North America, Australia, Africa and Europe. I'm extremely passionate about getting my students ACTUAL RESULTS and am continually improving my program to achieve this end.

In 2007, I released a critically acclaimed DVD program called ""The Jeffy Show.""

Simon & Schuster published my memoir ""Get Laid or Die Trying"" on March 29th, 2011.

In 2016 I released my magnum opus on text and online game, ""Execute the Program v2.0""

Facebook: www.facebook.com/RSDJeffy
Instagram: RSDJeffy
Snapchat: jlaix5150
Twitter/Periscope: @RSDJeffy",69,UC_1N_NAJv18XOndxdixfW6g,1014,RSD Jeffy,3,Ask Jeffy #1 - How Do I Improve My Sense of Humor?,20170308,1O-gcvClZmQ,48481
UC_1N_NAJv18XOndxdixfW6g,PUA,20190417,"Subscribe for more! ► http://www.youtube.com/subscription_center?add_user=rsdjeffy

Website: http://executetheprogram.com

—————
With Tyler in Chicago, we investigate the common problem of ""inconsistency"" and how it might actually help you learn the game FASTER.

—————
I have worked as an Executive Coach with Real Social Dynamics since 2003, running programs practically every weekend for the last 12 years in over 100 cities across North America, Australia, Africa and Europe. I am extremely passionate about getting my students ACTUAL RESULTS and am continually improving my program to achieve this end.

In 2007, I released a critically acclaimed DVD program called ""The Jeffy Show.""

Simon & Schuster published my memoir ""Get Laid or Die Trying"" on March 29th, 2011.

In 2014 I released my magnum opus on text and online game, ""Execute the Program.""

Facebook: www.facebook.com/RSDJeffy

Instagram: RSDJeffy",6,UC_1N_NAJv18XOndxdixfW6g,383,RSD Jeffy,3,Embracing Inconsistency,20140930,1qnny-NTBmI,27436
