Name,Category,Data Collection step,Id
Howard Dare,MGTOW,1,UCs-brcHDxKqrOGU9cEWuCMQ
Ronin Man,MGTOW,1,UCj5j4pIgg8gtcRA4iYTWiAg
Sandman,MGTOW,1,UCeCV-XNeZIoHiCGfNYCLh9Q
Turd Flinging Monkey,MGTOW,1,UCbgzmK-mfpjULHZ8SMCuhdg
Bold and Determined,MGTOW,1,UCvM0vwv9wWh13d21f4HdJrw
Redonkulas,MGTOW,1,UCwd_sSDZ8EQt6SEeOO2tBRA
Thinking-Ape,MGTOW,1,UCo1qRcO1OehgkOD_fHsu_uQ
bar bar,MGTOW,1,UCDoNFQZqQpd6aL32Ua4JPTQ
RPW,MGTOW,1,UCdGVD4QzNyUrfyX5oiZVtfQ
huMAN,MGTOW,1,UCT2dUsMtd08RfaH12O9DCDg
Misandry Today,MGTOW,1,UCbJx13WCQq8mpbaIwz6Oanw
Jolly Misanthrope,MGTOW,1,UCV8_fJZJe4GXqPq3bS0f6mw
The Stoic MGTOW,MGTOW,1,UCIEO_w-8_voXDymte5KYw_A
Paul Proteus,MGTOW,1,UCk2AXFIEy8Fq-ExkJxhLh_A
Groundwork For The Metaphysics of MGTOW,MGTOW,1,UCZrMKcDNPruX8ltP0Y0pOTw
Mayor of MGTOW,MGTOW,1,UCdMPdytnpICXabqQE7LG-sQ
John The Other,MGTOW,1,UC255AfKquZnQMO0amxdEGWw
MGT OW,MGTOW,1,UCKoYrCh8bOYuqAnkXx9Uakw
RazorBladeKandy2,MGTOW,1,UCrSJF7GT6MOm6PxYmv0H3_g
Coach Red Pill,MGTOW,2,UC5tEELgWBfKbA9fVPRzBzPQ
Sidney MGTOW,MGTOW,2,UCSKhcq_fYLgYMWzVw52GjBg
Rollo Tomassi,MGTOW,2,UC8eLDzfH6YfZRDbDuMsNWiA
Stephon Clinkscales,MGTOW,2,UC3n-Hywbms82-FPejNPpnEA
AlphaMaleSecrets,MGTOW,2,UCPa30Vkk1iM3rahMbjfltjw
Yorkshire MGTOW,MGTOW,2,UCFsAy88-PQxn8NiahfBCwgg
Zangatti,MGTOW,2,UCWrbXJxmAol4DZdfiz2-vIw
Kingee Mgtow,MGTOW,2,UCpbACnMmFIaKjCbwrZROXvg
MrElite O_O,MGTOW,2,UCseRVXO0TkkxjF5Oum6X33A
Mr Forma,MGTOW,2,UC4u39IvAzPFPz3K7Nxg2o4g
The Thinking Man's Templar,MGTOW,2,UCb7fZ328aBqOClRuAOOKjqw
HardHittingHealthTruth J,MGTOW,2,UCRboG-2RFSZbOs4LQo6bKOw
Calrisianthagod,MGTOW,2,UCR0srRLH-bri5HPnoaZJclw
Alexander Grace,MGTOW,2,UCeY3vg1r0KrvuyPOi7T39eA
Yogi Oabs,MGTOW,2,UCyc9mFN1Gf24xfO0cl8gJug
JDAWG MGTOW,MGTOW,2,UCWvzoD9t7tIKV3WjOzk-Yfw
Cyber Monk,MGTOW,2,UCRiQPLkTbRXwVuoeRNjJohg
fat guy Mgtow,MGTOW,2,UCnN9VhiGlmjCz0JaZi3GnkQ
M TMM,MGTOW,2,UCHJRJ0f4qV5eQzH3LerhyJA
Johnny MGTOW,MGTOW,2,UC_OGIvbOor3bUybYaUTIo3w
The Mad MGTOW,MGTOW,2,UCzH0b69GmcdQg-ArmrgeNsQ
